Type,Row Labels,Balloon,Fishing,Hard Plastic,Other,Soft Plastic,Black,Blue,Brown,Clear,Green,Grey,Orange,Red,White,Yellow,Species,Scientific Name,Family,Order,Habitat,Feeding
Bird,140,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Pied Cormorant,Phalacrocorax varius,Phalacrocoracidae,Suliformes,Coastal marine,Diving
Bird,148,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Pied Cormorant,Phalacrocorax varius,Phalacrocoracidae,Suliformes,Coastal marine,Diving
Bird,185,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Pied Cormorant,Phalacrocorax varius,Phalacrocoracidae,Suliformes,Coastal marine,Diving
Bird,293,0,0,20,0,0,0,2,0,0,0,0,0,0,18,0,Pied Oystercatcher,Haematopus longirostris,Haematopodidae,Charadriiformes,Coastal beach,Probe with bill
Bird,294,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,Salvin's Prion,Pachyptila salvini,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,295,0,0,13,0,1,2,1,5,3,2,0,0,0,1,0,Salvin's Prion,Pachyptila salvini,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,10,0,1,13,0,1,8,0,1,0,0,0,0,0,6,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,11,0,0,8,2,0,6,0,4,0,0,0,0,0,0,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,13,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,14,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,92,0,0,10,0,3,4,0,1,6,0,0,0,0,1,1,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,110,0,0,7,0,0,3,0,2,0,1,0,0,1,0,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,111,0,0,16,0,0,3,0,0,2,0,0,0,1,10,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,112,0,0,19,0,7,10,3,3,0,0,2,0,0,8,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,128,0,0,3,1,0,2,0,1,1,0,0,0,0,0,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,129,6,0,3,0,0,1,0,1,0,0,0,0,6,1,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,130,6,0,4,0,0,3,0,0,0,1,0,6,0,0,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,132,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,164,0,0,1,2,1,0,0,1,0,0,0,0,0,3,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,165,2,0,8,0,7,2,1,2,2,2,0,1,5,1,1,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,166,0,0,6,0,12,2,6,1,3,0,0,0,1,5,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,167,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,168,5,0,9,0,2,6,1,1,0,0,0,5,1,1,1,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,169,6,0,1,0,0,1,0,0,0,0,0,0,6,0,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,170,0,0,14,0,0,10,0,2,0,0,0,0,1,1,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,171,0,0,4,1,0,0,0,2,0,0,0,0,1,2,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,172,0,0,7,1,0,1,2,2,0,0,0,0,1,2,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
